date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2024-08-23,2357,1737837,893779581,512.0,519.0,508.0,519.0,1.0,4347
2024-08-26,2357,11699503,6439058612,539.0,564.0,530.0,546.0,27.0,15582
2024-08-27,2357,6361832,3529728526,542.0,562.0,542.0,554.0,8.0,8560
2024-08-28,2357,2395345,1316155946,555.0,556.0,543.0,552.0,-2.0,5865
2024-08-29,2357,3489385,1911461190,542.0,552.0,540.0,548.0,-4.0,3659
2024-08-30,2357,4109800,2227667891,547.0,556.0,537.0,537.0,-11.0,11254
2024-09-02,2357,4860655,2691112880,547.0,562.0,542.0,556.0,19.0,6037
2024-09-03,2357,1844059,1018874276,553.0,557.0,550.0,550.0,-6.0,2580
2024-09-04,2357,4466195,2359653716,522.0,537.0,512.0,528.0,-22.0,20425
2024-09-05,2357,2633165,1384308848,530.0,535.0,520.0,521.0,-7.0,5016
2024-09-06,2357,2425780,1277261067,522.0,536.0,516.0,527.0,6.0,2766
2024-09-09,2357,3577884,1888152925,520.0,534.0,518.0,533.0,6.0,3634
2024-09-10,2357,3541178,1875661298,536.0,539.0,522.0,527.0,-6.0,3525
2024-09-11,2357,2104309,1104214787,526.0,530.0,520.0,523.0,-4.0,2455
2024-09-12,2357,3276181,1763816398,535.0,543.0,530.0,539.0,16.0,3998
2024-09-13,2357,1939960,1047246778,537.0,543.0,533.0,543.0,4.0,2386
2024-09-16,2357,1210530,655199009,541.0,546.0,538.0,544.0,1.0,1737
2024-09-18,2357,2731380,1495381376,541.0,551.0,541.0,547.0,3.0,3485
2024-09-19,2357,5495838,3095448054,555.0,569.0,551.0,569.0,22.0,8521
2024-09-20,2357,8932833,5274740672,572.0,598.0,572.0,591.0,22.0,9645
2024-09-23,2357,4691379,2748410999,588.0,592.0,581.0,589.0,-2.0,5191
2024-09-24,2357,3421978,2019458469,590.0,596.0,580.0,594.0,5.0,4319
2024-09-25,2357,4513835,2649351017,597.0,598.0,582.0,586.0,-8.0,5441
2024-09-26,2357,4383756,2531579069,583.0,589.0,572.0,575.0,-11.0,6140
2024-09-27,2357,3099582,1770156185,578.0,583.0,567.0,568.0,-7.0,4930
2024-09-30,2357,4070069,2276121452,565.0,571.0,553.0,553.0,-15.0,4965
2024-10-01,2357,3374205,1908465345,555.0,577.0,553.0,572.0,19.0,3922
2024-10-04,2357,3834240,2159241105,568.0,571.0,559.0,562.0,-10.0,4384
2024-10-07,2357,4229003,2446146267,570.0,584.0,569.0,579.0,17.0,4756
2024-10-08,2357,2829927,1628896721,572.0,582.0,568.0,577.0,-2.0,2912
2024-10-09,2357,2298168,1333517362,579.0,586.0,577.0,577.0,0.0,2750
2024-10-11,2357,2591820,1522072443,591.0,592.0,580.0,585.0,8.0,3722
2024-10-14,2357,2012077,1177898688,581.0,591.0,577.0,583.0,-2.0,3513
2024-10-15,2357,5063568,3027502809,586.0,607.0,586.0,599.0,16.0,6813
2024-10-16,2357,2628770,1555238360,590.0,597.0,587.0,591.0,-8.0,3619
2024-10-17,2357,1968943,1174443408,597.0,602.0,591.0,596.0,5.0,4264
2024-10-18,2357,5108185,3087058588,602.0,613.0,596.0,596.0,0.0,6439
2024-10-21,2357,3717952,2211070360,609.0,610.0,586.0,590.0,-6.0,8572
2024-10-22,2357,3876793,2313547168,590.0,602.0,586.0,600.0,10.0,3581
2024-10-23,2357,2622732,1551490635,595.0,598.0,588.0,591.0,-9.0,3212
2024-10-24,2357,2102382,1234183301,589.0,592.0,584.0,584.0,-7.0,2859
2024-10-25,2357,1732140,1024975188,590.0,594.0,587.0,591.0,7.0,2052
2024-10-28,2357,1663578,989944589,596.0,598.0,591.0,595.0,4.0,2203
2024-10-29,2357,2398655,1398031273,592.0,594.0,577.0,584.0,-11.0,4513
2024-10-30,2357,3461466,2000012242,587.0,588.0,575.0,575.0,-9.0,4289
2024-11-01,2357,2981754,1713555655,553.0,584.0,552.0,583.0,8.0,3158
2024-11-04,2357,2400127,1419834409,580.0,597.0,580.0,596.0,13.0,3310
2024-11-05,2357,2327460,1386079100,595.0,600.0,592.0,596.0,0.0,2520
2024-11-06,2357,3739105,2258860376,596.0,608.0,595.0,606.0,10.0,4729
2024-11-07,2357,3259726,1991658879,602.0,616.0,601.0,607.0,1.0,4574
2024-11-08,2357,4342861,2699712270,610.0,627.0,610.0,621.0,14.0,6321
